casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,hour,minute,day,lon,lat
2018-00027283,1,146 Pembroke Ave,3,RI Statute Violation,2018-03-17 13:54:00,JDoucette,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018,13,54,17,-71.4299194,41.8405881
2017-00120260,0,50 Obedier Brown Rd ,11,Juvenile Matter,2017-11-15 13:20:39,JKane,Not Used,No violations,2017,13,20,15,,
2017-00120200,0,Bergen St At Andem St,11,Request for Assistance,2017-11-15 10:50:00,JAndrade,Not Used,No violations,2017,10,50,15,,
2018-00001879,1,207 Union Ave,1,Larceny from Motor Vehicle,2018-01-06 09:54:24,LSalinaro,11-41-1,LARCENY/O $1500 - FROM MV,2018,9,54,6,-71.44364990000003,41.8080816
2017-00132478,1,165 Angell St,12,Drug Offenses,2017-12-18 20:24:00,NField,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2017,20,24,18,-71.4012142,41.8278313
2017-00132474,0,939 Douglas Ave,12,Missing Persons,2017-12-18 20:19:00,Central Station,Not Used,No violations,2017,20,19,18,-71.43751429999998,41.8536621
2017-00120415,1,Broadway  At Almy St,11,Traffic Violation,2017-11-15 21:07:00,MTroia,31-47-9,Operating a MV without Evidence of Insurance,2017,21,7,15,,
2017-00124904,1,161 Wood St,11,Vandalism,2017-11-28 04:12:00,MGuerra,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,4,12,28,-71.4385869,41.8128039
2017-00114105,1,34 Monticello St,10,Traffic Violation,2017-10-30 11:34:22,EKemble,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,11,34,30,-71.42210279999998,41.85165960000001
2018-00031633,1,Manton Aveatgreenwood St ,3,"Assault, Simple",2018-03-30 00:19:00,JNajarian,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,0,19,30,,
2018-00009253,1,343 Broad St,1,RI Statute Violation,2018-01-26 20:17:00,DJohnson,11-32-3,OBSTRUCTION OF THE JUDICIAL SYSTEM,2018,20,17,26,-71.4221319,41.8138466
2017-00124722,1,328 Pocasset Ave,11,"Assault, Simple",2017-11-27 16:05:00,JLopes,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,16,5,27,-71.4572577,41.8058253
2018-00009316,1,37 Eaton St,1,Municipal Code Violation,2018-01-26 23:53:00,MClary,Sec. 16-3.G,Disorderly Conduct G - Urine in public,2018,23,53,26,-71.4288298873358,41.8411373958308
2018-00015336,1,81 Washington Ave,2,Vandalism,2018-02-12 16:31:00,JButen,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,16,31,12,-71.392896,41.78885579999999
2018-00009336,1,Waterman St At Gano St,1,RI Statute Violation,2018-01-27 00:32:00,OCastro,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018,0,32,27,,
2017-00120206,1,656 Elmwood Ave,11,Drug Offenses,2017-11-15 11:24:00,BAuclair,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2017,11,24,15,-71.4240235500034,41.7943643104087
2017-00132372,0,100 Aldrich St,12,Property Damage,2017-12-18 15:43:00,JButen,Not Used,No violations,2017,15,43,18,-71.40776269999998,41.79400070000001
2017-00120142,2,19 Walton St,11,Vandalism,2017-11-15 07:35:00,BMuldoon,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,7,35,15,-71.4437088,41.8469396
2018-00009149,1,945 Westminster St,1,RI Statute Violation,2018-01-26 15:25:00,DJohnson,15-15-3,VIOLATION OF PROTECTIVE ORDER,2018,15,25,26,-71.42406609999998,41.81775560000001
2018-00015406,1,118 11Th St,2,Larceny from Motor Vehicle,2018-02-12 19:54:51,MGammino,11-41-1,LARCENY/U $1500 - FROM MV,2018,19,54,12,-71.39406348512091,41.8548279888982
2017-00120180,0,93 Lenox Ave,11,Request for Assistance,2017-11-15 09:34:00,ITavarez,Not Used,No violations,2017,9,34,15,-71.41850525,41.797233500000004
2017-00120228,1,82 Clarence St,11,RI Statute Violation,2017-11-15 12:24:00,RMoroney,15-15-3,VIOLATION OF PROTECTIVE ORDER,2017,12,24,15,-71.4468065,41.8104853333333
2017-00132475,1,1 Franklin Sq ,12,Traffic Violation,2017-12-18 20:08:00,DBrien,31-10-27,No License on Person - Exhibited on Demand,2017,20,8,18,,
2017-00132478,1,165 Angell St,12,Tresspassing,2017-12-18 20:24:00,NField,11-44-26,WILLFUL TRESPASS,2017,20,24,18,-71.4012142,41.8278313
2017-00132367,1,146 Hazael St,12,Burglary,2017-12-18 15:15:00,JDoucette,11-8-1,BURGLARY,2017,15,15,18,-71.4394815,41.8540132
2018-00500022,1,27 Calle Aa-Ff ,1,"Fraud, Swindle",2018-01-03 11:15:51,CSical,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,11,15,3,,
2018-00009278,1,Greene St At Fountain St,1,Larceny from Motor Vehicle,2018-01-26 21:40:00,MGoddard,11-41-1,LARCENY/U $1500 - FROM MV,2018,21,40,26,,
2018-00009337,0,11 Parade St,1,Assistance Rendered,2018-01-27 00:36:00,MRudolph,Not Used,No violations,2018,0,36,27,-71.43353470000002,41.8159041
2018-00009346,5,Pearl Srat Haywood St ,1,Warrant\Capias,2018-01-27 01:00:00,KEndres,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018,1,0,27,,
2018-00009340,1,Douglas Statsuffolk St ,1,Traffic Violation,2018-01-27 00:42:00,RMalloy,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,0,42,27,,
2017-00132328,1,1 Tanner St,12,Burglary,2017-12-18 13:45:20,JDalton,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,13,45,18,-71.4161692,41.811986
2018-00027511,0,Chad Brown St At Oakland Ave ,3,Auto Fire,2018-03-18 00:27:00,EBreault,Not Used,No violations,2018,0,27,18,,
2018-00500175,1,167 Grove St,2,Vandalism,2018-02-10 14:27:18,CVieira,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,14,27,10,-71.43484240000002,41.81947750000001
2018-00015291,1,339 Douglas Ave,2,"Assault, Aggravated",2018-02-12 14:53:00,JDoucette,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018,14,53,12,-71.4261249,41.8398606
2018-00015288,1,375 Adelaide Ave,2,"Larceny, Other",2018-02-12 14:29:00,BRamos,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,14,29,12,-71.4300972,41.7951549
2018-00027490,1,65 Lydia St,3,Larceny from Motor Vehicle,2018-03-17 23:39:00,KRosado,11-41-1,LARCENY/U $1500 - FROM MV,2018,23,39,17,-71.4205432,41.8351383
2018-00027288,1,325 Ocean St ,3,"Larceny, Other",2018-03-17 14:02:00,Central Station,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,14,2,17,-71.4080725777778,41.7963785555556
2018-00027301,1,7 Providence Pl,3,"Larceny, Shoplifting",2018-03-17 15:00:00,GKue,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,15,0,17,-71.4223156153846,41.8286493076923
2018-00026940,1,24 Rushmore Ave,3,"Assault, Simple",2018-03-16 14:25:00,JO,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,14,25,16,-71.4572116,41.826483
2018-00027446,1,164 Oakland Ave,3,Drug Offenses,2018-03-17 21:15:00,JDoucette,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,2018,21,15,17,-71.4295516666667,41.8387217777778
2018-00011014,1,7 Providence Pl,1,"Assault, Simple",2018-01-31 15:00:58,GMorgan,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,15,0,31,-71.4223156153846,41.8286493076923
2018-00027502,1,Webster Statdorchester St ,3,DUI,2018-03-18 00:09:00,DCastigliego,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2018,0,9,18,,
2017-00113027,1,180 Pine St ,10,RI Statute Violation,2017-10-28 02:35:00,JLeroux,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2017,2,35,28,-71.4124850616103,41.8197697887306
2017-00132367,1,146 Hazael St,12,RI Statute Violation,2017-12-18 15:15:00,JDoucette,15-15-3,VIOLATION OF PROTECTIVE ORDER,2017,15,15,18,-71.4394815,41.8540132
2017-00117507,1,133 Gano St,11,RI Statute Violation,2017-11-07 19:39:00,SSousa,11-1-6,CONSPIRACY - ALL OTH OFFENSE,2017,19,39,7,-71.3896838,41.8229019
2017-00120415,1,Broadway  At Almy St,11,Traffic Violation,2017-11-15 21:07:00,MTroia,31-3-1,Operation of Unregistered Vehicle,2017,21,7,15,,
2017-00500232,1,Don'T Know ,11,"Fraud, Swindle",2017-11-14 15:05:57,SPartridge,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,15,5,14,,
2017-00124734,1,775 Cranston St,11,Traffic Violation,2017-11-27 16:50:00,JFonseca,31-47-9,Operating a MV without Evidence of Insurance,2017,16,50,27,-71.4391925,41.80417070000001
2017-00120399,1,859 N  Main St,11,DUI,2017-11-15 19:42:00,JLanier,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2017,19,42,15,-71.51459391836741,42.0162406836735
2017-00120247,1,61 Woodman St,11,Burglary,2017-11-15 13:08:30,KDemarco,11-8-1,BURGLARY,2017,13,8,15,-71.4269927,41.8085727
2017-00119902,1,710 Atwells Ave,11,Vandalism,2017-11-14 14:20:07,LAndreozzi,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,14,20,14,-71.4404394,41.8244241
2017-00124858,1,30 Ruggles St,11,"Assault, Simple",2017-11-27 23:32:00,RJoseph,11-5-3,SIMPLE ASSAULT/BATTERY,2017,23,32,27,-71.42841059999998,41.8354331
2017-00120415,1,Broadway  At Almy St,11,Traffic Violation,2017-11-15 21:07:00,MTroia,31-8-3,Improper Use of Evidence of Registration or Certificate,2017,21,7,15,,
2017-00120494,0,136 Knight St,11,Missing Persons,2017-11-16 01:59:00,Central Station,Not Used,No violations,2017,1,59,16,-71.43037629999998,41.8212509
2018-00002189,1,155 Elmwood Ave,1,"Assault, Simple",2018-01-07 03:03:00,MRudolph,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,3,3,7,-71.42477579845101,41.808632325557795
2018-00000451,1,25 Weeden St,1,Vandalism,2018-01-02 10:40:25,MCaraccia,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,10,40,2,-71.4247265,41.8228656
2017-00124692,1,48 Plainfield St,11,"Larceny, Shoplifting",2017-11-27 14:49:58,MCifuentes,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,14,49,27,-71.4443499,41.8160945
2018-00001918,1,863 Broad St,1,"Larceny, Other",2018-01-06 12:32:00,ADeschamps,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,12,32,6,-71.41769120000002,41.8000235
2017-00124599,1,55 Corliss St,11,Vandalism,2017-11-27 08:37:00,MMoonan,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,8,37,27,-71.4132510494983,41.8396795410844
2018-00009349,1,132 Pinehurst Ave,1,Liquor Law Violations,2018-01-27 01:11:00,KRichards,3-8-10,POSSESSION OF BEVERAGE-UNDERAGE PERSONS,2018,1,11,27,-71.4318540417223,41.8402674248509
2018-00009395,0,Allens Ave At Baker St,1,Shots Fired,2018-01-27 03:03:00,JLewis,Not Used,No violations,2018,3,3,27,,
2018-00002124,0,136 Knight St,1,Missing Persons,2018-01-06 23:07:00,Central Station,Not Used,No violations,2018,23,7,6,-71.43037629999998,41.8212509
2017-00132367,1,146 Hazael St,12,Vandalism,2017-12-18 15:15:00,JDoucette,11-35-14,REFUSE/RELINQUISH TELEPHONE - W/DAMAGE,2017,15,15,18,-71.4394815,41.8540132
2018-00002045,0,260 Quarry Street ,1,Request for Assistance,2018-01-06 18:30:00,Central Station,Not Used,No violations,2018,18,30,6,-71.3794336830107,41.812448198615606
2017-00132457,1,144 Cornwall St,12,Burglary,2017-12-18 19:30:00,KRichards,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,19,30,18,-71.423158,41.8471447
2018-00027342,1,6 Providence Pl,3,"Larceny, Shoplifting",2018-03-17 16:33:00,GKue,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,16,33,17,-71.4223045128205,41.8286472564103
2017-00122777,1,262 Charles St,11,Larceny from Motor Vehicle,2017-11-21 21:04:00,JLopes,11-41-1,LARCENY/U $1500 - FROM MV,2017,21,4,21,-71.4145449,41.8378123
2017-00122013,1,Union St At Fountain St,11,Larceny from Motor Vehicle,2017-11-20 01:32:00,Central Station,11-41-1,LARCENY/O $1500 - FROM MV,2017,1,32,20,,
2018-00011014,1,7 Providence Pl,1,"Assault, Simple",2018-01-31 15:00:58,GMorgan,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,15,0,31,-71.4223156153846,41.8286493076923
2017-00113287,0,96 Ruggles St,10,Assistance Rendered,2017-10-28 19:35:00,DImpagliazzo,Not Used,No violations,2017,19,35,28,-71.42843563636359,41.8377166818182
2017-00113439,1,Allens Ave At Carolina Ave,10,RI Statute Violation,2017-10-29 01:08:00,JCascione,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2017,1,8,29,,
2017-00113416,0,48 Malvern St,10,Request for Assistance,2017-10-29 00:34:00,WSherrill,Not Used,No violations,2017,0,34,29,-71.4163532,41.8529565
2017-00113049,1,182 Eaton St,10,Disorderly Conduct,2017-10-28 03:45:00,WSherrill,11-45-1,DISORDERLY CONDUCT,2017,3,45,28,-71.4343525107495,41.8415157228561
2018-00009243,1,67 Cedar St,1,Vandalism,2018-01-26 19:45:00,BBoudreau,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,19,45,26,-71.4222766188465,41.8245537894277
2017-00500422,1,Canal St. ,12,"Larceny, Other",2017-12-27 14:22:43,SPartridge,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,14,22,27,-71.410294,41.827746999999995
2017-00113072,1,593 Eddy St,10,"Assault, Simple",2017-10-28 07:24:00,Central Station,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,7,24,28,-71.40937109999999,41.8116811
2018-00027240,1,935 Manton Ave,3,"Larceny, Shoplifting",2018-03-17 10:30:00,JO,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2018,10,30,17,-71.4435752,41.81715429999999
2018-00009329,1,195 Pleasant St,1,Municipal Code Violation,2018-01-27 00:16:00,GVargas,Sec. 16-3.A,Disorderly and indecent conduct A - Theatening,2018,0,16,27,-71.4019878,41.83952539999999
2018-00027408,1,Chad Brown St At Oakland Ave,3,Municipal Code Violation,2018-03-17 19:30:00,MRousseau,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,19,30,17,,
2018-00027502,1,Webster Statdorchester St ,3,Traffic Violation,2018-03-18 00:09:00,DCastigliego,31-15-12,Interval Between Vehicles - Following too Close,2018,0,9,18,,
2018-00027499,1,Radcliff Stat Chad Brown ,3,Liquor Law Violations,2018-03-18 00:05:00,DJohnson,3-8-10,POSSESSION OF BEVERAGE-UNDERAGE PERSONS,2018,0,5,18,,
2017-00113168,1,41 Fricker St,10,Disorderly Conduct,2017-10-28 15:06:00,AFrancis,11-45-1,DISORDERLY CONDUCT,2017,15,6,28,-71.42283259999998,41.8157402
2017-00113196,0,244 Washington Ave,10,Missing Persons,2017-10-28 16:13:00,Central Station,Not Used,No violations,2017,16,13,28,-71.3988958,41.78736
2018-00030900,0,247 Webster Ave,3,Lost Article,2018-03-27 23:20:00,Central Station,Not Used,No violations,2018,23,20,27,-71.4483095,41.8077658
2018-00031634,0,7 Winthrop Ave,3,Juvenile Matter,2018-03-30 00:18:30,SRomano,Not Used,No violations,2018,0,18,30,-71.45128614511009,41.832843629986
2017-00124301,1,197 Burnside St,11,Vandalism,2017-11-26 09:41:42,MChasse,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,9,41,26,-71.4104645,41.8002169
2018-00002039,1,25 Cambridge St,1,"Assault, Simple",2018-01-06 18:04:00,MRousseau,11-5-3,SIMPLE ASSAULT/BATTERY,2018,18,4,6,-71.4448745,41.825659
2018-00500118,1,20 Providence Pl,1,"Larceny, Other",2018-01-26 14:36:40,CVieira,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,14,36,26,-71.42245994871791,41.828675974359
2018-00009076,1,721 Chalkstone Ave,1,"Assault, Simple",2018-01-26 12:15:00,Central Station,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,12,15,26,-71.4315368,41.834612
2018-00015331,1,99 Kennedy Plz,2,Warrant\Capias,2018-02-12 16:22:00,TRichards,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018,16,22,12,-71.4096412,41.82663820000001
2018-00021329,1,Hawkins St At Charles St,2,Vandalism,2018-02-28 20:19:00,TManzotti,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,20,19,28,,
2018-00500168,1,Hope St At Stimson Ave,2,Vandalism,2018-02-11 20:53:49,CVieira,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,20,53,11,,
2018-00015312,1,56 Oak St,2,"Larceny, Other",2018-02-12 15:34:00,BBoudreau,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,15,34,12,-71.4346703,41.8150357
2018-00015243,1,139 Regent Av ,2,Warrant\Capias,2018-02-12 12:20:00,JIannucci,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018,12,20,12,-71.4390408,41.8297761
2018-00015399,0,24 Tappan St,2,Missing Persons,2018-02-12 19:34:00,Central Station,Not Used,No violations,2018,19,34,12,-71.42720299674359,41.846159399723
2018-00021187,1,1271 N  Main St,2,"Fraud, Swindle",2018-02-28 14:15:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,14,15,28,-71.40005044317459,41.8551132727438
2017-00132719,1,Sorrento St At Linwood Ave,12,Traffic Violation,2017-12-19 16:36:00,ADiaz,31-23.3-5,Windshield/Window - Owner/Operating w/Unlawful Sunscreen Material,2017,16,36,19,,
2018-00027282,3,808 Hope St,3,Larceny from Building,2018-03-17 13:49:49,EChin,11-41-1,LARCENY/U $1500 - FROM BLD,2018,13,49,17,-71.2785697274593,41.6775256478238
2017-00132325,1,28 Ringgold St,12,Burglary,2017-12-18 13:27:30,MCaraccia,11-8-1,BURGLARY,2017,13,27,18,-71.42385,41.8218112
2017-00132325,1,28 Ringgold St,12,Burglary,2017-12-18 13:27:30,MCaraccia,11-8-1,BURGLARY,2017,13,27,18,-71.42385,41.8218112
2017-00132325,1,28 Ringgold St,12,Burglary,2017-12-18 13:27:30,MCaraccia,11-8-1,BURGLARY,2017,13,27,18,-71.42385,41.8218112
2017-00132325,1,28 Ringgold St,12,Burglary,2017-12-18 13:27:30,MCaraccia,11-8-1,BURGLARY,2017,13,27,18,-71.42385,41.8218112
2017-00124751,1,Huntington Ave At Dexter St,11,Traffic Violation,2017-11-27 16:20:00,KMatsumoto,31-14-2(A),Speeding 1-15 mph Over Speed Limit,2017,16,20,27,,
2018-00031380,0,325 Washington St,3,Article Found,2018-03-29 09:11:00,Central Station,Not Used,No violations,2018,9,11,29,-71.4207328,41.8199945
2018-00031570,1,649 Admiral St,3,Motor Vehicle Theft,2018-03-29 18:46:00,JDoucette,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,18,46,29,-71.43802059999999,41.84904279999999
2018-00027296,1,59 Eaton St,3,Liquor Law Violations,2018-03-17 14:42:00,KRichards,3-8-10,POSSESSION OF BEVERAGE-UNDERAGE PERSONS,2018,14,42,17,-71.42961290000002,41.8413384
2018-00015167,1,26 Grove St,2,Disorderly Conduct,2018-02-12 07:57:00,ECuri,11-45-1,DISORDERLY CONDUCT,2018,7,57,12,-71.4295477,41.82034520000001
2018-00031391,0,25 Lenox Ave,3,Lost Article,2018-03-29 09:53:00,Central Station,Not Used,No violations,2018,9,53,29,-71.4158432,41.7982039
2017-00124751,1,Huntington Ave At Dexter St,11,Traffic Violation,2017-11-27 16:20:00,KMatsumoto,31-14-2(A),Speeding 1-15 mph Over Speed Limit,2017,16,20,27,,
2018-00027317,1,Chad Brown St At Radcliffe Ave,3,Municipal Code Violation,2018-03-17 15:43:00,CSical,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,15,43,17,,
2017-00120277,1,85 Eagle St,11,"Fraud, Swindle",2017-11-15 14:28:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2017,14,28,15,-71.436023549958,41.826754437234
2017-00120379,1,10 Armington Ave,11,Burglary,2017-11-15 18:38:00,JSherman,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,18,38,15,-71.4441050815346,41.827130136018894
2017-00500238,1,97 Academy Ave,11,Vandalism,2017-11-15 08:29:40,SPartridge,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,8,29,15,-71.4434773,41.8274462
2018-00500177,1,1455 Westminster St,2,Larceny from Motor Vehicle,2018-02-10 10:18:40,CVieira,11-41-1,LARCENY/U $1500 - FROM MV,2018,10,18,10,-71.43361259999998,41.8165411
2017-00120515,1,29 Blaine St,11,RI Statute Violation,2017-11-16 04:42:00,WSherrill,11-35-14,REFUSE/RELINQUISH TELEPHONE - W/O DMG,2017,4,42,16,-71.4152,41.854674
2017-00120151,0,2 Pilsudski St ,11,Building Fire,2017-11-15 08:26:39,JRodrigues,Not Used,No violations,2017,8,26,15,-71.446292,41.814913
2017-00132763,3,Weybosset St At Snow St,12,Warrant\Capias,2017-12-19 18:32:00,TRichards,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2017,18,32,19,,
2017-00124293,1,186 Wayland Ave,11,Vandalism,2017-11-26 08:47:00,GPereira,11-44-2,MALICIOUS INJURY-BUILDINGS/FENCES/VEGATATION - DESTRUCT/VAND,2017,8,47,26,-71.3883892,41.829026299999995
2018-00015517,0,325 Washington St,2,Article Found,2018-02-13 05:20:00,Central Station,Not Used,No violations,2018,5,20,13,-71.4207328,41.8199945
2017-00124751,1,Huntington Ave At Dexter St,11,Traffic Violation,2017-11-27 16:20:00,KMatsumoto,31-34-3,Oper. by Person Other Than Lessee,2017,16,20,27,,
2018-00015262,1,12 Ortoleva Dr,2,Vandalism,2018-02-12 13:08:00,Central Station,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,13,8,12,-71.457954,41.8262826
2017-00124793,1,152 Early St,11,Burglary,2017-11-27 18:41:00,JButen,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,18,41,27,-71.4123878,41.7948693
2017-00132597,0,Chad Brown St At June St,12,Stolen Vehicle\Recovered,2017-12-19 10:02:27,EBreault,Not Used,No violations,2017,10,2,19,,
2018-00001837,1,33 Chapin Ave,1,Larceny from Motor Vehicle,2018-01-06 06:33:26,LFernandez,11-41-1,LARCENY/U $1500 - FROM MV,2018,6,33,6,-71.43238786670891,41.8119692603118
2018-00015230,1,239 Public St,2,RI Statute Violation,2018-02-12 11:34:00,TRudd,11-37.1-3,SEXUAL OFFENDER REGISTRATION REQUIRED,2018,11,34,12,-71.4087771,41.8071813
2018-00015166,1,Tobey St At Broadway ,2,Traffic Violation,2018-02-12 07:58:29,DHull,31-8-1,Operation of Vehicle Without Evidence of Registration,2018,7,58,12,,
2018-00027283,1,146 Pembroke Ave,3,Municipal Code Violation,2018-03-17 13:54:00,JDoucette,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,13,54,17,-71.4299194,41.8405881
2018-00027446,1,164 Oakland Ave,3,Disorderly Conduct,2018-03-17 21:15:00,JDoucette,11-45-1,DISORDERLY CONDUCT,2018,21,15,17,-71.4295516666667,41.8387217777778
2018-00009049,1,44 Cortez St,1,Weapons,2018-01-26 11:06:00,PTesseris,11-47-3,CARRY DANG. WEAPONS/SUB WHEN IN CRIME VIOL,2018,11,6,26,-71.4614825625,41.828139875
2018-00009301,0,136 Knight St,1,Missing Persons,2018-01-26 22:54:00,Central Station,Not Used,No violations,2018,22,54,26,-71.43037629999998,41.8212509
2018-00005286,1,6 Providence Pl,1,Weapons,2018-01-15 16:42:00,GKue,11-47-50,FIRING IN COMPACT AREA,2018,16,42,15,-71.4223045128205,41.8286472564103
2018-00021303,1,322 Lowell Ave,2,RI Statute Violation,2018-02-28 18:57:00,VLopez,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018,18,57,28,-71.46073616666669,41.8177276
2018-00031579,1,640 Chalkstone Ave,3,Burglary,2018-03-29 20:22:00,YGonzalez,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,20,22,29,-71.4279267692308,41.8345851538462
2017-00124805,1,117 Ontario St,11,Burglary,2017-11-27 19:54:31,AElie,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,19,54,27,-71.4219557,41.7993062
2018-00031435,1,53 Russo St,3,Vandalism,2018-03-29 12:28:33,MTella,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,12,28,29,-71.4209187,41.8529367
2018-00009373,1,31 Harlam St,1,RI Statute Violation,2018-01-27 01:58:00,LVadney,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018,1,58,27,-71.45655529999998,41.8124248
2018-00009162,1,460 Charles St,1,"Fraud, Swindle",2018-01-26 16:00:00,MMena-Torres,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,16,0,26,-71.4201073,41.8466419
2018-00001863,0,Delaine S At Appleton St ,1,Auto Towed,2018-01-06 08:52:47,LSalinaro,Not Used,Parking or MV Violation,2018,8,52,6,,
2018-00027411,0,74 Marion Ave,3,Request for Assistance,2018-03-17 19:30:00,GValletta,Not Used,No violations,2018,19,30,17,-71.7127392964605,41.9639438109403
2018-00012792,1,903 Providence Pl,2,Vandalism,2018-02-05 13:52:00,EPedchenko,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,13,52,5,-71.419823538074,41.8279378297773
2017-00120304,1,1 Providence Pl,11,"Larceny, Shoplifting",2017-11-15 15:44:14,GMorgan,11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,2017,15,44,15,-71.4166245,41.827677
2017-00132708,1,1 Providence Pl,12,Warrant\Capias,2017-12-19 16:05:00,MSepe,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2017,16,5,19,-71.4166245,41.827677
2017-00120326,1,Hyat St At Manton Ave,11,RI Statute Violation,2017-11-15 16:33:00,MCifuentes,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2017,16,33,15,,
2017-00132765,0,Manton Avenue ,12,Lost Article,2017-12-19 18:41:00,Central Station,Not Used,No violations,2017,18,41,19,-71.4435752,41.81715429999999
2018-00031299,1,Pennsylvania Ave At Prairie Ave,3,Larceny from Motor Vehicle,2018-03-29 00:04:00,BMcParlin,11-41-1,LARCENY/O $1500 - FROM MV,2018,0,4,29,,
2018-00029307,1,Valley St ,3,Traffic Violation,2018-03-23 12:59:27,FFurtado,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,12,59,23,-71.44022340000002,41.8211437
2018-00015224,1,60 Camden Ave,2,"Larceny, Pickpocketing",2018-02-12 11:17:00,CRodriguez,11-41-7,LARCENY FROM THE PERSON - POCKET PICKING,2018,11,17,12,-71.4263948,41.8368602
2018-00031517,1,233 Butler Ave,3,Burglary,2018-03-29 16:38:00,MCastillo,11-8-1,BURGLARY,2018,16,38,29,-71.38430670000002,41.8310703
